	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)
VARIABLES	hsgrad 1960	hsgrad 1970	hsgrad 1980	yrsofeduc 1960	yrsofeduc 1970	yrsofeduc 1980	inctot_adj 1960	inctot_adj 1970	inctot_adj 1980	incwage_adj 1960	incwage_adj 1970	incwage_adj 1980	iemp 1960	iemp 1970	iemp 1980	ipoverty 1960	ipoverty 1970	ipoverty 1980	nmedinc_adj 1970	sei 1960	sei 1970	sei 1980	idislimwrk 1970	idislimwrk 1980	idisprevwrk 1970	idisprevwrk 1980	disabduradj 1970	incss_adj 1970	incss_adj 1980	irecss 1960	irecss 1970	irecss 1980	incwelfr_adj 1970	incwelfr_adj 1980	irecwelf 1960	irecwelf 1970	irecwelf 1980
																																					
i1919	-0.032	-0.026	-0.014	-0.244	-0.251	-0.121	22.934	-412.704	-538.534	-228.872	-324.839	-1,175.996	0.005	-0.011	0.004	0.025	0.016	0.004	170.563	-0.450	-0.865	-0.382	-0.003	0.001	0.009	0.011	0.046	6.519	-233.264	0.000	0.001	-0.053	47.719	35.592	0.000	0.006	0.007
	(0.009)	(0.006)	(0.005)	(0.086)	(0.051)	(0.043)	(316.113)	(284.859)	(212.356)	(352.453)	(312.094)	(297.239)	(0.010)	(0.006)	(0.006)	(0.011)	(0.007)	(0.005)	(340.195)	(0.383)	(0.262)	(0.230)	(0.004)	(0.003)	(0.005)	(0.005)	(0.058)	(24.185)	(33.291)	(0.000)	(0.003)	(0.004)	(28.000)	(24.266)	(0.000)	(0.004)	(0.004)
	0.001	0.000	0.004	0.004	0.000	0.005	0.942	0.147	0.011	0.516	0.298	0.000	0.629	0.075	0.479	0.022	0.017	0.456	0.616	0.239	0.001	0.096	0.521	0.805	0.041	0.021	0.426	0.788	0.000	.	0.814	0.000	0.088	0.142	.	0.127	0.059
																																					
Observations	23,323	63,465	101,041	23,323	63,465	101,041	23,323	63,465	101,041	16,284	43,764	44,391	23,323	63,465	101,041	23,323	63,465	101,041	21,275	23,323	63,465	101,041	63,465	101,041	63,465	101,041	63,465	63,465	101,041	23,323	63,465	101,041	63,465	101,041	23,323	63,465	101,041
R-squared	0.011	0.008	0.010	0.015	0.014	0.016	0.001	0.004	0.017	0.001	0.003	0.028	0.000	0.003	0.057	0.001	0.002	0.010	0.003	0.001	0.005	0.022	0.001	0.000	0.005	0.010	0.004	0.001	0.164		0.002	0.227	0.000	0.001		0.000	0.005
Robust standard errors in parentheses																																					
